Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2025-12-17,26251,26238,2025-12-15,2025-12-24,60.13,59.749,-0.6336271411940819,-0.9363756560007578,,,
A_Auctions,2025-12-17,26251,26240,2025-12-15,2025-12-24,62.978,62.196,-1.241703451999121,-0.9363756560007578,,,
A_Auctions,2025-12-17,26251,26244,2025-12-15,2025-12-24,87.447,86.769,-0.7753267693574317,-0.9363756560007578,,,
A_Auctions,2025-12-17,26251,26245,2025-12-15,2025-12-24,89.394,88.342,-1.1768127614828816,-0.9363756560007578,,,
A_Auctions,2025-12-17,26251,26249,2025-12-15,2025-12-24,87.448,86.541,-1.0371878144725954,-0.9363756560007578,,,
A_Auctions,2025-12-17,26253,26230,2025-12-15,2025-12-24,63.96,63.478,-0.7535959974984352,-0.9363756560007578,,,
A_Auctions,2025-12-17,26253,26238,2025-12-15,2025-12-24,60.13,59.749,-0.6336271411940819,-0.9363756560007578,,,
A_Auctions,2025-12-17,26253,26240,2025-12-15,2025-12-24,62.978,62.196,-1.241703451999121,-0.9363756560007578,,,
A_Auctions,2025-12-17,26253,26244,2025-12-15,2025-12-24,87.447,86.769,-0.7753267693574317,-0.9363756560007578,,,
A_Auctions,2025-12-17,26253,26245,2025-12-15,2025-12-24,89.394,88.342,-1.1768127614828816,-0.9363756560007578,,,
A_Auctions,2025-12-17,26253,26249,2025-12-15,2025-12-24,87.448,86.541,-1.0371878144725954,-0.9363756560007578,,,
A_Auctions,2025-12-24,26250,26230,2025-12-22,2026-01-05,63.677,63.919,0.38004302966534453,0.2291246002050181,,,
A_Auctions,2025-12-24,26250,26238,2025-12-22,2026-01-05,59.874,59.862,-0.020042088385607837,0.2291246002050181,,,
A_Auctions,2025-12-24,26250,26240,2025-12-22,2026-01-05,62.449,63.228,1.2474178930006907,0.2291246002050181,,,
A_Auctions,2025-12-24,26250,26244,2025-12-22,2026-01-05,86.6,87.416,0.942263279445732,0.2291246002050181,,,
A_Auctions,2025-12-24,26250,26245,2025-12-22,2026-01-05,88.8,88.476,-0.3648648648648667,0.2291246002050181,,,
